	epoch	option_close	vix_close	nifty_close
0	1656906300	70.95	21.98	15785.75
1	1656906360	64.5	22.08	15772.65
2	1656906420	60.0	22.19	15751.7
3	1656906480	54.75	22.17	15732.65
4	1656906540	50.05	22.21	15704.75
5	1656906600	51.05	22.12	15718.9
6	1656906660	51.75	22.06	15725.3
7	1656906720	54.25	22.02	15741.95
8	1656906780	55.15	21.92	15752.3
9	1656906840	57.0	21.85	15755.55
10	1656906900	57.95	21.85	15756.25
11	1656906960	53.95	21.87	15744.4
12	1656907020	52.0	21.88	15734.6
13	1656907080	52.35	21.93	15736.65
14	1656907140	53.25	21.92	15741.8
15	1656907200	50.15	21.94	15732.9
16	1656907260	51.25	21.92	15737.05
17	1656907320	48.7	21.96	15727.0
18	1656907380	46.85	21.95	15717.15
19	1656907440	48.2	21.94	15720.85
20	1656907500	47.25	21.92	15712.7
21	1656907560	50.7	21.84	15735.85
22	1656907620	49.7	21.87	15733.05
23	1656907680	49.95	21.85	15734.4
24	1656907740	51.15	21.85	15740.2
25	1656907800	49.85	21.87	15733.65
26	1656907860	49.4	21.9	15731.75
27	1656907920	46.6	21.96	15724.1
28	1656907980	45.2	21.93	15716.15
29	1656908040	44.8	21.94	15716.45
30	1656908100	44.8	21.91	15714.7
31	1656908160	43.85	21.9	15709.1
32	1656908220	39.45	21.92	15688.9
33	1656908280	39.0	21.96	15690.45
34	1656908340	40.0	21.92	15697.25
35	1656908400	41.3	21.93	15698.2
36	1656908460	40.25	21.9	15698.6
37	1656908520	39.35	21.96	15688.35
38	1656908580	40.15	21.96	15693.0
39	1656908640	39.45	21.94	15691.75
40	1656908700	40.0	21.96	15692.75
41	1656908760	41.0	21.92	15697.2
42	1656908820	40.35	21.96	15692.95
43	1656908880	40.5	21.94	15693.05
44	1656908940	39.65	21.94	15691.6
45	1656909000	40.55	21.93	15694.65
46	1656909060	40.15	21.93	15693.65
47	1656909120	39.25	21.98	15687.15
48	1656909180	38.6	22.03	15685.15
49	1656909240	36.75	22.06	15674.3
50	1656909300	36.2	22.1	15668.85
51	1656909360	37.7	22.08	15677.5
52	1656909420	37.85	22.07	15680.95
53	1656909480	38.05	22.02	15684.65
54	1656909540	38.3	22.05	15684.35
55	1656909600	38.5	22.05	15682.9
56	1656909660	37.0	22.07	15675.05
57	1656909720	36.4	22.09	15665.4
58	1656909780	37.8	22.09	15674.75
59	1656909840	37.7	22.08	15673.1
60	1656909900	37.9	22.09	15671.15
61	1656909960	36.85	22.09	15666.8
62	1656910020	36.55	22.08	15663.7
63	1656910080	39.1	22.02	15684.75
64	1656910140	38.5	22.04	15678.9
65	1656910200	39.3	22.03	15683.05
66	1656910260	39.2	21.96	15688.15
67	1656910320	40.15	21.94	15691.5
68	1656910380	41.0	21.87	15695.25
69	1656910440	41.35	21.87	15697.6
70	1656910500	41.6	21.86	15699.9
71	1656910560	41.1	21.9	15699.75
72	1656910620	40.6	21.92	15694.3
73	1656910680	40.2	21.91	15692.9
74	1656910740	39.55	21.91	15691.35
