	epoch	option_close	vix_close	nifty_close
0	1657511100	2.4	19.19	16137.2
1	1657511160	2.4	19.13	16148.25
2	1657511220	2.4	19.08	16153.05
3	1657511280	2.45	19.06	16158.65
4	1657511340	2.4	19.16	16158.6
5	1657511400	2.4	19.17	16152.5
6	1657511460	2.35	19.18	16147.7
7	1657511520	2.4	19.19	16142.85
8	1657511580	2.4	19.19	16144.75
9	1657511640	2.35	19.19	16142.0
10	1657511700	2.25	19.14	16147.75
11	1657511760	2.2	19.15	16145.45
12	1657511820	2.25	19.13	16145.75
13	1657511880	2.25	19.13	16145.35
14	1657511940	2.25	19.14	16140.0
15	1657512000	2.25	19.14	16138.4
16	1657512060	2.25	19.14	16135.05
17	1657512120	2.25	19.12	16125.2
18	1657512180	2.2	19.13	16131.65
19	1657512240	2.15	19.12	16127.85
20	1657512300	2.2	19.12	16124.6
21	1657512360	2.1	19.12	16136.75
22	1657512420	2.1	19.13	16135.85
23	1657512480	2.15	19.14	16123.85
24	1657512540	2.1	19.12	16124.05
25	1657512600	2.1	19.11	16135.4
26	1657512660	2.1	19.14	16139.0
27	1657512720	2.05	19.1	16145.15
28	1657512780	2.0	19.1	16142.85
29	1657512840	2.0	19.05	16155.0
30	1657512900	1.95	19.04	16161.05
31	1657512960	1.95	19.06	16156.85
32	1657513020	2.0	19.05	16153.2
33	1657513080	2.0	19.06	16152.75
34	1657513140	1.95	19.07	16157.8
35	1657513200	1.9	19.08	16156.65
36	1657513260	1.9	19.08	16158.3
37	1657513320	1.9	19.08	16157.35
38	1657513380	1.9	19.08	16151.55
39	1657513440	1.95	19.06	16146.1
40	1657513500	1.95	19.04	16141.7
41	1657513560	1.9	19.02	16150.9
42	1657513620	1.85	19.05	16137.25
43	1657513680	1.85	19.04	16143.5
44	1657513740	1.85	19.05	16144.65
45	1657513800	1.9	19.03	16144.4
46	1657513860	1.85	19.05	16153.9
47	1657513920	1.85	19.03	16156.6
48	1657513980	1.9	19.04	16156.25
49	1657514040	1.9	19.02	16156.9
50	1657514100	1.9	19.03	16153.15
51	1657514160	1.9	19.03	16155.65
52	1657514220	1.9	19.02	16162.15
