,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
0,1657511100,110.45,19.19,112.0,91.55,87.9,74.45,67.8,60.15,50.35,48.35,36.7,38.8,26.0,31.0,17.9,24.65,12.3,19.4,7.95,15.0,5.25,12.1,3.65,9.3,2.9,16136.15,16152.1,16117.85,16137.2,0
1,1657511160,105.8,19.13,117.6,87.15,92.8,70.8,71.4,57.15,53.25,45.65,38.95,37.1,27.85,29.65,19.25,23.55,13.05,18.55,8.45,14.55,5.65,11.55,3.8,9.0,2.85,16137.5,16148.25,16131.1,16148.25,0
2,1657511220,105.4,19.08,121.95,86.7,96.85,71.0,75.2,57.1,56.65,45.9,41.0,36.9,29.85,29.45,20.6,23.3,13.9,18.45,9.1,14.25,5.95,11.35,4.1,8.8,3.05,16149.0,16166.75,16149.0,16153.05,0
3,1657511280,103.55,19.06,124.0,85.05,98.65,69.6,76.7,56.0,57.75,45.1,42.7,36.4,30.85,29.0,21.4,23.1,14.7,18.25,9.65,14.25,6.3,11.3,4.25,8.8,3.2,16153.2,16158.65,16147.05,16158.65,0
4,1657511340,103.45,19.16,125.1,84.95,100.0,69.4,77.95,56.05,58.95,44.9,43.8,36.3,31.8,29.0,22.5,23.05,15.55,18.1,10.45,14.2,7.05,11.25,4.8,8.8,3.5,16160.2,16164.0,16157.35,16158.6,0
5,1657511400,106.1,19.17,121.15,87.4,96.4,71.4,74.9,57.45,56.55,46.2,41.75,37.2,30.45,29.55,21.5,23.4,15.0,18.3,10.1,14.35,6.8,11.4,4.75,8.9,3.5,16160.25,16161.7,16152.45,16152.5,0
6,1657511460,106.9,19.18,118.35,87.95,94.15,71.5,72.75,57.35,54.6,45.75,40.15,36.75,29.3,28.95,20.85,22.9,14.3,18.0,9.75,13.9,6.65,11.0,4.65,8.5,3.45,16153.25,16153.25,16147.1,16147.7,0
7,1657511520,109.6,19.19,114.6,90.2,90.75,73.15,70.15,58.8,52.5,47.05,38.65,37.55,28.0,29.75,19.65,23.45,13.75,18.4,9.3,14.15,6.3,11.2,4.5,8.7,3.35,16149.1,16149.5,16140.75,16142.85,0
8,1657511580,107.95,19.19,115.0,88.65,90.7,71.9,69.75,57.6,52.3,45.95,38.35,36.75,27.75,29.15,19.75,22.95,13.7,17.95,9.3,14.05,6.3,10.9,4.45,8.5,3.4,16143.3,16147.45,16141.95,16144.75,0
9,1657511640,109.4,19.19,111.75,89.8,88.35,73.0,67.9,58.55,50.6,46.6,37.05,37.35,26.75,29.35,19.0,23.1,13.1,18.0,8.95,14.0,6.05,10.95,4.3,8.45,3.3,16145.9,16148.15,16141.9,16142.0,0
10,1657511700,107.0,19.14,114.75,87.5,90.5,70.75,69.75,56.55,51.95,45.3,38.05,36.15,27.35,28.45,19.45,22.25,13.5,17.3,9.05,13.3,6.15,10.45,4.3,8.05,3.25,16142.5,16147.75,16134.55,16147.75,0
