,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
0,1657683900,74.55,18.29,67.4,54.5,47.8,38.4,32.75,27.1,21.5,18.4,13.5,11.95,8.4,8.05,5.25,5.4,3.55,3.7,2.55,2.6,1.95,1.9,1.6,1.55,1.4,16128.2,16131.4,16105.65,16127.25,0
1,1657683960,76.6,18.32,68.95,55.9,49.55,40.15,34.45,28.35,22.9,19.45,14.65,12.85,9.15,8.45,5.6,5.45,3.65,3.75,2.45,2.6,1.9,1.85,1.55,1.45,1.35,16129.6,16136.15,16127.45,16127.45,0
2,1657684020,76.35,18.27,68.8,55.9,48.95,39.9,33.65,27.85,22.15,19.3,14.15,12.85,8.85,8.6,5.5,5.6,3.6,3.85,2.45,2.75,1.9,2.0,1.55,1.5,1.35,16129.15,16139.6,16127.9,16130.2,0
3,1657684080,78.65,18.26,67.0,57.85,47.2,41.45,32.1,29.05,21.05,19.95,13.2,13.45,8.2,8.95,5.1,5.85,3.35,4.05,2.25,2.8,1.8,2.05,1.5,1.55,1.35,16130.2,16131.35,16117.65,16119.45,0
4,1657684140,78.2,18.29,65.4,57.3,45.9,40.85,31.0,28.55,20.25,19.5,12.7,12.9,7.9,8.6,4.85,5.5,3.25,3.8,2.25,2.7,1.75,2.05,1.55,1.55,1.3,16119.2,16119.2,16111.4,16113.45,0
5,1657684200,79.0,18.29,63.1,57.6,44.5,40.8,30.1,28.45,19.7,19.25,12.4,12.85,7.8,8.5,4.8,5.45,3.25,3.85,2.15,2.8,1.7,2.1,1.5,1.6,1.3,16113.1,16119.2,16110.4,16117.65,0
6,1657684260,83.15,18.37,60.75,61.15,42.5,43.5,28.75,30.45,18.85,20.7,11.85,13.65,7.45,9.1,4.65,5.75,3.15,4.0,2.05,2.8,1.65,2.05,1.45,1.6,1.25,16118.05,16118.05,16102.2,16106.35,0
7,1657684320,80.45,18.35,62.4,58.85,43.75,41.85,29.65,29.2,19.35,19.85,12.1,13.0,7.6,8.65,4.7,5.5,3.1,3.9,2.05,2.75,1.65,2.05,1.4,1.6,1.3,16105.25,16112.15,16104.1,16110.9,0
8,1657684380,80.25,18.34,63.4,58.4,44.25,41.65,30.2,29.15,19.75,19.7,12.4,13.0,7.75,8.65,4.8,5.5,3.1,3.8,2.1,2.75,1.7,2.0,1.4,1.6,1.25,16111.1,16111.8,16106.25,16110.9,0
9,1657684440,75.6,18.34,66.65,54.85,46.75,38.9,31.95,27.0,20.85,18.1,13.15,11.85,8.15,7.85,4.95,5.05,3.25,3.55,2.2,2.5,1.7,1.9,1.45,1.55,1.25,16110.75,16118.65,16110.75,16118.65,0
10,1657684500,73.85,18.33,66.7,53.55,46.65,37.6,31.75,25.85,20.7,17.25,12.95,11.25,8.0,7.35,4.95,4.6,3.2,3.3,2.2,2.35,1.75,1.85,1.45,1.5,1.25,16118.4,16125.15,16117.9,16122.95,0
11,1657684560,73.7,18.32,67.75,53.25,47.8,37.4,32.7,25.8,21.35,17.15,13.4,11.25,8.35,7.3,5.15,4.65,3.35,3.35,2.25,2.4,1.8,1.85,1.45,1.55,1.2,16122.45,16127.3,16119.2,16122.45,0
12,1657684620,73.55,18.31,68.65,53.1,48.75,37.5,33.4,26.0,21.75,17.35,13.65,11.35,8.4,7.4,5.15,4.7,3.3,3.3,2.15,2.4,1.75,1.85,1.45,1.5,1.2,16122.1,16129.35,16122.1,16125.95,0
