,epoch,PE_15800,vix_close,CE_15850,PE_15750,CE_15900,PE_15700,CE_15950,PE_15650,CE_16000,PE_15600,CE_16050,PE_15550,CE_16100,PE_15500,CE_16150,PE_15450,CE_16200,PE_15400,CE_16250,PE_15350,CE_16300,PE_15300,CE_16350,PE_15250,CE_16400,nifty_close
0,1655351100,46.9,21.02,56.7,30.0,36.3,17.7,21.1,10.2,11.65,5.5,5.95,3.15,2.95,2.0,1.7,1.4,1.5,1.3,1.25,1.25,1.0,1.1,1.0,1.0,0.95,15833.25
1,1655351160,36.35,20.91,63.4,21.9,40.3,12.45,23.9,6.85,13.4,3.95,6.6,2.55,3.15,2.0,1.7,1.6,1.4,1.5,1.15,1.3,0.9,1.15,0.95,1.05,0.9,15853.65
2,1655351220,39.8,20.87,57.9,24.4,36.1,14.35,20.65,8.1,11.05,4.8,5.25,3.05,2.5,2.2,1.65,1.65,1.3,1.4,1.2,1.2,1.0,1.05,0.9,1.0,0.9,15847.0
3,1655351280,38.05,20.77,57.0,22.9,35.2,13.35,20.2,7.3,10.8,4.3,5.1,2.85,2.35,2.15,1.35,1.7,1.25,1.35,1.1,1.1,1.0,1.0,0.95,0.9,0.95,15845.85
4,1655351340,36.95,20.87,54.4,21.5,33.0,12.25,18.0,6.7,9.3,3.9,4.25,2.8,1.95,2.2,1.3,1.65,1.15,1.35,1.1,1.2,0.9,1.15,0.95,1.0,0.9,15844.8
5,1655351400,36.45,20.82,55.05,21.75,33.05,12.8,17.9,7.1,9.25,4.3,4.1,2.95,1.8,2.25,1.15,1.75,1.0,1.4,0.95,1.2,0.9,1.05,0.9,1.0,0.85,15845.8
6,1655351460,39.2,20.86,50.45,23.4,29.75,13.75,15.5,7.7,7.7,4.65,3.25,3.2,1.5,2.3,1.05,1.75,1.05,1.35,0.95,1.2,0.85,1.05,0.85,0.95,0.9,15837.3
7,1655351520,41.75,20.85,47.15,25.6,27.4,15.0,13.85,8.3,6.85,4.95,2.9,3.15,1.5,2.15,1.05,1.55,1.0,1.25,0.95,1.15,0.9,0.95,0.85,0.9,0.8,15829.45
8,1655351580,45.65,20.71,44.3,27.65,25.7,16.35,13.3,9.05,6.7,5.2,2.95,3.15,1.5,2.1,1.1,1.45,1.0,1.2,0.9,1.05,0.85,0.85,0.8,0.8,0.8,15821.75
9,1655351640,46.45,20.77,43.15,28.55,25.1,16.85,12.95,9.3,6.65,5.3,2.95,3.2,1.55,2.25,1.1,1.55,1.05,1.2,1.0,0.95,0.85,0.95,0.85,0.75,0.8,15817.8
10,1655351700,50.3,20.82,41.2,31.1,23.9,18.45,12.6,10.25,6.45,5.75,2.85,3.4,1.45,2.3,1.1,1.55,1.0,1.1,0.9,0.9,0.85,0.9,0.8,0.7,0.75,15812.1
11,1655351760,49.75,20.83,40.5,30.7,23.3,18.1,12.3,9.85,6.35,5.65,2.8,3.35,1.5,2.3,1.1,1.6,1.0,1.25,0.85,0.9,0.8,0.85,0.8,0.75,0.75,15808.4
12,1655351820,45.0,20.95,44.15,27.4,25.65,15.95,13.65,8.6,6.95,4.8,3.1,2.95,1.5,2.1,1.1,1.45,0.9,1.2,0.85,0.9,0.75,0.85,0.8,0.7,0.7,15820.05
