,epoch,PE_15850,vix_close,CE_15900,PE_15800,CE_15950,PE_15750,CE_16000,PE_15700,CE_16050,PE_15650,CE_16100,PE_15600,CE_16150,PE_15550,CE_16200,PE_15500,CE_16250,PE_15450,CE_16300,PE_15400,CE_16350,PE_15350,CE_16400,PE_15300,CE_16450,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
0,1656301500,125.45,20.92,129.85,104.65,107.0,86.3,86.95,71.4,69.05,58.15,53.7,47.7,41.1,38.65,30.95,31.5,23.0,25.65,17.2,20.75,12.85,17.15,9.55,14.05,7.25,15926.2,15927.45,15870.45,15874.8,0
1,1656301560,121.6,20.99,135.45,101.4,111.6,83.65,90.5,69.1,72.0,56.75,56.2,46.1,43.35,37.65,32.65,30.6,24.25,24.85,18.25,20.25,13.65,16.85,10.25,13.7,7.85,15876.2,15886.5,15871.2,15882.65,0
2,1656301620,124.05,20.95,130.55,102.75,106.95,85.1,86.55,69.5,68.5,57.35,53.85,46.8,41.35,38.15,31.4,31.0,23.6,25.0,17.5,20.45,13.15,16.95,9.95,13.95,7.55,15884.2,15886.85,15873.55,15874.3,0
3,1656301680,126.15,20.96,128.9,105.1,106.0,86.7,85.15,71.35,68.0,58.75,53.3,47.85,40.7,39.0,30.7,31.8,23.0,25.65,17.15,20.95,12.95,17.35,9.75,14.25,7.45,15875.35,15880.7,15869.6,15871.5,0
4,1656301740,129.55,20.99,125.2,107.95,102.55,89.6,82.35,73.7,65.1,61.0,50.55,49.85,38.5,40.85,29.15,33.6,21.55,27.25,15.9,22.35,11.9,18.55,8.9,15.3,6.85,15870.7,15875.5,15865.55,15867.5,0
5,1656301800,127.15,21.01,127.35,106.25,104.25,88.2,83.8,72.9,66.35,60.5,51.55,49.75,39.25,40.95,29.4,33.55,21.9,27.5,16.2,22.8,12.1,18.85,9.0,15.55,6.8,15866.25,15880.9,15862.6,15873.55,0
6,1656301860,122.1,21.01,134.15,102.05,110.3,84.4,88.9,69.6,70.35,57.65,54.75,47.55,41.6,39.3,31.15,32.3,23.0,26.65,17.0,22.05,12.65,18.5,9.4,15.45,7.0,15872.55,15888.65,15872.55,15886.25,0
7,1656301920,117.85,20.96,134.1,97.75,109.7,80.65,88.2,66.15,69.6,55.0,54.0,45.1,40.95,37.3,30.75,30.85,22.6,25.3,16.7,21.3,12.45,17.7,9.15,14.75,6.9,15886.65,15890.75,15882.7,15889.0,0
8,1656301980,121.3,21.01,132.25,101.45,108.25,83.85,86.8,69.1,68.2,57.5,52.65,47.55,40.1,39.5,30.0,32.75,22.0,27.05,16.2,22.7,12.05,19.0,8.9,15.65,6.65,15888.2,15892.05,15877.55,15883.7,0
9,1656302040,115.45,20.96,135.6,96.0,110.75,79.4,89.1,65.3,70.0,54.35,54.0,44.85,40.85,37.1,30.35,30.9,22.25,25.6,16.25,21.55,11.95,17.8,8.8,14.95,6.65,15883.1,15894.3,15880.25,15894.3,0
